,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent,Week_18_Home_Away,Week_18_Opponent
0,Buccaneers,Away,97,Away,87,Home,84,Home,92,Home,81,Away,89,Away,84,Home,95,Home,72,Home,74,Bye,Bye,Away,99,Home,87,Away,98,Home,89,Away,67,Home,84,Away,81
1,Packers,Away,79,Home,60,Away,84,Home,90,Home,73,Home,95,Away,79,Away,91,Away,81,Home,97,Home,80,Away,95,Away,60,Bye,Bye,Home,72,Away,88,Home,79,Home,81
2,Chiefs,Away,67,Home,74,Away,77,Away,84,Home,72,Home,91,Away,98,Bye,Bye,Home,80,Home,87,Away,74,Home,72,Away,89,Away,69,Away,76,Home,74,Home,69,Away,72
3,Bills,Away,72,Home,80,Away,88,Away,95,Home,89,Away,92,Bye,Bye,Home,84,Away,95,Home,79,Home,99,Away,81,Away,90,Home,95,Home,88,Away,60,Away,89,Home,90
4,Bengals,Home,89,Away,97,Away,95,Home,88,Away,95,Away,87,Home,81,Away,99,Home,84,Bye,Bye,Away,89,Away,80,Home,92,Home,99,Away,84,Away,90,Home,91,Home,95
5,Cowboys,Home,84,Home,89,Away,73,Home,79,Away,72,Away,95,Home,81,Home,60,Bye,Bye,Away,84,Away,79,Home,73,Home,77,Home,76,Away,87,Home,95,Away,80,Away,79
6,Chargers,Home,72,Away,92,Home,87,Away,76,Away,99,Home,69,Home,74,Bye,Bye,Away,81,Away,98,Home,92,Away,67,Away,72,Home,88,Home,80,Away,77,Home,72,Away,69
7,Ravens,Away,95,Home,88,Away,90,Home,91,Home,89,Away,73,Home,99,Away,84,Away,87,Bye,Bye,Home,84,Away,87,Home,69,Away,89,Away,99,Home,81,Home,89,Away,89
8,Broncos,Away,74,Home,76,Home,98,Away,72,Home,77,Away,74,Home,95,Away,87,Bye,Bye,Away,80,Home,72,Away,84,Away,95,Home,92,Home,67,Away,72,Away,92,Home,74
9,Rams,Home,91,Home,81,Away,67,Away,98,Home,97,Home,84,Bye,Bye,Home,98,Away,84,Home,67,Away,87,Away,92,Home,74,Home,72,Away,84,Home,69,Away,74,Away,74
10,Browns,Away,84,Home,95,Home,89,Away,81,Home,74,Home,90,Away,95,Home,89,Bye,Bye,Away,88,Away,91,Home,84,Away,76,Away,89,Home,95,Home,87,Away,79,Away,89
11,Cardinals,Home,92,Away,72,Home,72,Away,84,Home,95,Away,74,Home,87,Away,79,Home,74,Away,72,Home,98,Home,74,Bye,Bye,Home,90,Away,69,Home,84,Away,81,Away,98
12,Raiders,Away,74,Home,67,Away,80,Home,69,Away,92,Bye,Bye,Home,76,Away,87,Away,87,Home,77,Away,69,Away,74,Home,74,Away,72,Home,90,Away,89,Home,98,Home,92
13,Titans,Home,73,Away,91,Home,72,Away,77,Away,79,Bye,Bye,Home,77,Away,76,Away,92,Home,69,Away,84,Home,89,Away,95,Home,87,Away,74,Home,76,Home,97,Away,87
14,Colts,Away,76,Away,87,Home,92,Home,80,Away,69,Home,87,Away,80,Home,79,Away,90,Away,72,Home,95,Home,89,Away,97,Bye,Bye,Away,79,Home,74,Away,73,Home,76
15,Vikings,Home,84,Away,95,Home,81,Away,87,Home,60,Away,88,Bye,Bye,Home,67,Away,79,Away,91,Home,97,Home,90,Home,95,Away,81,Home,77,Home,73,Away,84,Away,60
16,Patriots,Away,88,Away,89,Home,95,Away,84,Home,81,Away,99,Home,60,Away,95,Home,77,Bye,Bye,Home,95,Away,79,Home,91,Away,67,Away,72,Home,89,Home,88,Away,91
17,49ers,Away,60,Home,74,Away,69,Home,72,Away,84,Away,81,Home,92,Away,72,Bye,Bye,Home,74,Away,67,Home,87,Home,88,Home,84,Away,74,Home,79,Away,72,Home,67
18,Saints,Away,81,Home,84,Away,84,Home,79,Home,74,Home,89,Away,67,Home,72,Home,95,Away,89,Home,72,Away,98,Away,84,Bye,Bye,Home,81,Away,99,Away,95,Home,84
19,Jaguars,Away,79,Home,77,Away,74,Away,95,Home,76,Away,77,Home,73,Home,69,Home,72,Away,92,Bye,Bye,Home,95,Away,81,Away,80,Home,97,Away,95,Away,76,Home,80
20,Dolphins,Home,90,Away,95,Home,91,Away,89,Away,95,Home,79,Home,89,Away,81,Away,60,Home,99,Bye,Bye,Home,76,Away,98,Away,74,Away,91,Home,84,Away,90,Home,95
21,Eagles,Away,81,Home,79,Away,79,Home,87,Away,67,Home,97,Bye,Bye,Home,89,Away,76,Home,79,Away,77,Home,84,Home,80,Away,73,Away,60,Away,97,Home,87,Home,73
22,Bears,Home,98,Away,84,Home,76,Away,73,Away,79,Home,79,Away,90,Away,97,Home,88,Home,81,Away,81,Away,95,Home,84,Bye,Bye,Home,95,Home,91,Away,81,Home,79
23,Commanders,Home,87,Away,81,Home,95,Away,97,Home,80,Away,60,Home,84,Away,77,Home,79,Away,95,Away,76,Home,81,Away,73,Bye,Bye,Home,73,Away,98,Home,99,Home,97
24,Jets,Home,95,Away,99,Home,89,Away,89,Home,88,Away,84,Away,69,Home,90,Home,91,Bye,Bye,Away,90,Home,60,Away,79,Away,91,Home,81,Home,87,Away,74,Away,88
25,Lions,Home,95,Home,79,Away,79,Home,74,Away,90,Bye,Bye,Away,97,Home,88,Home,84,Away,60,Away,73,Home,91,Home,87,Home,79,Away,95,Away,84,Home,60,Away,84
26,Texans,Home,77,Away,69,Away,60,Home,74,Away,87,Bye,Bye,Away,72,Home,80,Home,95,Away,73,Home,79,Away,88,Home,99,Away,97,Home,92,Away,80,Home,87,Away,77
27,Falcons,Home,87,Away,72,Away,74,Home,99,Away,84,Home,98,Away,89,Home,84,Home,74,Away,84,Home,60,Away,79,Home,89,Bye,Bye,Away,87,Away,95,Home,67,Home,84
28,Panthers,Home,99,Away,73,Home,87,Home,67,Home,98,Away,72,Home,84,Away,81,Away,89,Home,81,Away,95,Home,69,Bye,Bye,Away,74,Home,89,Home,81,Away,84,Away,87
29,Giants,Away,80,Home,84,Home,97,Home,60,Away,84,Home,95,Away,87,Away,74,Bye,Bye,Home,76,Home,81,Away,97,Home,79,Home,95,Away,79,Away,79,Home,77,Away,95
30,Steelers,Away,89,Home,90,Away,99,Home,95,Away,91,Home,84,Away,88,Away,95,Bye,Bye,Home,87,Home,89,Away,77,Away,81,Home,95,Away,84,Home,72,Away,95,Home,99
31,Seahawks,Home,69,Away,98,Home,81,Away,81,Away,87,Home,67,Away,74,Home,73,Away,67,Away,84,Bye,Bye,Home,72,Away,72,Home,84,Home,98,Away,92,Home,95,Home,72
